Ordre,Phase,Nom,Objectif en une phrase,Livrables clés,C'est fini quand…,Statut
1,Phase 0,Fondations,"Assainir le prototype existant et poser des bases saines.","Connexion sécurisée ; base de données propre ; environnement de développement reproductible ; moteur de jeu affiché dans le navigateur ; faille de sécurité de juillet 2026 corrigée (identifiants changés, historique purgé).","On peut se connecter et une carte vide s'affiche.",✅ FAIT (07/2026)
2,Tranche V0,Première tranche jouable,"Prouver la chaîne complète de bout en bout, hors ordre de la feuille de route.","Création de personnage (5 races, gabarits, répartition de points) ; éditeur de cartes admin avec sauvegarde versionnée ; forum communautaire ; démo de déplacement au clic (solo).","Inscription → personnage → déplacement → édition de carte → forum, vérifié dans le navigateur.",✅ FAIT (07/2026)
3,Phase 1,Présence,"Le vrai multijoueur : plusieurs joueurs dans le même espace.","Déplacement géré par le serveur, pas à pas avec glissé fluide ; les autres joueurs visibles en temps réel ; un premier quartier construit à la main ; position sauvegardée ; reconnexion propre.","Deux navigateurs arpentent une rue et se suivent.",🔜 PROCHAINE ÉTAPE
4,Phase 2,Cœur du chat,"La pièce maîtresse : la parole à portée physique.","5 volumes de voix ; atténuation par les murs ; dégradation à distance ; messages interactifs ; /me /ooc /roll ; bulles ; anti-spam ; historique personnel par personnage ; archive de modération.","Du chuchotement au hurlement, les portées et les murs se comportent exactement comme prévu entre deux clients — et à la reconnexion, on retrouve ce que son personnage a entendu.",📅 PLANIFIÉ
5,Phase 3,Identité,"L'anonymat et la reconnaissance deviennent réels.","Silhouettes et équipement visible (poupée de papier) ; portraits téléversés avec file de validation ; noms présentés, descriptions et tests de reconnaissance ; pions (couleurs, décorations, échelle) ; panneau « qui est là ».","Un inconnu masqué est réellement anonyme.",📅 PLANIFIÉ
6,Phase 4a,Verticalité & pièces,"Les bâtiments prennent de la hauteur et des secrets.","Bâtiments multi-étages ; escaliers et ascenseurs ; le son traverse les planchers ; pièces grisées tant qu'on n'y est pas entré ; mémoire des lieux qui s'efface quand on rénove.","Entendre une dispute étouffée à travers le plafond d'un bar dont l'arrière-salle reste grise tant qu'on n'y entre pas.",📅 PLANIFIÉ
7,Phase 4b,Le vaste monde,"Sortir de la ville.","Quartiers reliés bord à bord ; grille de cellules du monde ; désert généré à la première visite puis permanent.","Sortir d'un quartier vers une cellule de terrain vague qui se régénère à l'identique à chaque retour.",📅 PLANIFIÉ (peut glisser vers la Phase 9)
8,Phase 4c,Transports,"Voyager devient une scène de roleplay.","Lignes de transport avec arrêts et horaires ; véhicules comme vrais espaces intérieurs ; états à quai / en route avec ETA.","Prendre un train entre deux quartiers.",📅 PLANIFIÉ (peut glisser vers la Phase 9)
9,Phase 5,Profondeur des personnages,"Les stats, les traits et la progression prennent vie.","Registres d'attributs/compétences/traits ; tirage des 3 traits à la création ; formule de test unique ; horloges de tâche ; les lieux se souviennent (action « enquêter ») ; XP et niveaux ; compétences par l'usage ; fiche de personnage ; règle du « un personnage par 14 jours ».","Jouer normalement fait progresser ; les grands chantiers persistent dans le monde.",📅 PLANIFIÉ
10,Phase 6,Objets,"L'inventaire complet et des objets qui comptent.","Sac à dos en grille ; équipement en poupée de papier ; poser/ramasser/enterrer ; effets d'objets (protection auditive, dissimulation, décorations) ; montrer un objet dans le chat.","On s'équipe, on échange par le sol, on enterre une cache.",📅 PLANIFIÉ
11,Phase 7,Combat & mort,"Le danger, la mort, et l'au-delà jouable.","Combat au tour par tour sur la carte ; zone qui happe les badauds ; fuite en courant ; état « à terre » ; exécutions ; les Limbes ; cuves de clonage et retour affaibli ou guéri ; traumatisme du tueur.","Un combat complet jusqu'aux Limbes et retour.",📅 PLANIFIÉ
12,Phase 8,Éditeurs,"Les outils de l'équipe passent à l'échelle.","Éditeur de cartes complété ; concepteur de monde (ressources, villes, transports, aperçu procédural) ; interface d'historique/restauration ; éditions poussées en direct ; boîte à outils de modération.","L'équipe fait vivre le monde sans toucher au code.",📅 PLANIFIÉ
13,Phase 9,Boucle économique,"L'argent entre, circule et sort.","Ressources et sites de fouille ; comptoirs d'échange ; frais de clonage et tickets de transport ; le système des Projets avec son interface de gestion pour l'équipe.","Gagner en fouillant, dépenser en pétitionnant la ville.",📅 PLANIFIÉ
14,Phase 10,Outils d'aventure,"Donjons, énigmes et événements.","Éditeur de donjons/lieux ; appareils et énigmes (devinettes, digicodes, serrures, plaques, portes minutées, hacking) ; modèles d'événements ; instances privées (scènes consenties puis événements à PNJ).","Braquer la banque dans une instance pendant qu'un troisième navigateur reste bloqué dehors.",📅 PLANIFIÉ
15,Phase 11,Construction par les joueurs,"Les joueurs bâtissent leur coin de ville.","Parcelles et propriété ; éditeur de bâtiment bridé avec validation ; coûts en matériaux ; politiques de validation par ville ; murs et sols personnalisés téléversés.","Aménager sa pièce — et échouer la validation en condamnant sa sortie.",📅 PLANIFIÉ
16,Phase 12+,Et au-delà,"Le contenu au long cours, au fil du live.","Effets de chat (ivresse, grenades aveuglantes) ; hacking et ICE en profondeur ; contenu des Limbes ; fenêtre d'échange ; factions ; logement et loyers ; fondation de villes par les joueurs ; mémoire des visages (reconnaître les habitués) ; forum en personnage ; paliers supérieurs de traits ; la révélation de la magie.","Jamais — c'est le jeu comme service.",📅 PLANIFIÉ
