Section,Contenu
Nom du jeu,Nekron
C'est quoi ?,"Un MMO de roleplay cyberpunk en 2D, jouable entièrement dans le navigateur. Vous contrôlez un personnage sur une carte de ville, pas à pas, et le cœur du jeu est un chat lié au lieu : qui vous entend dépend d'où vous êtes, du volume de votre voix et des murs entre vous."
Inspiration,"Dreadcast (dreadcast.net) — la référence assumée pour l'ambiance générale : une fenêtre de carte centrale, le chat comme véritable centre du jeu, des avatars personnalisés et une société roleplay portée par les joueurs."
Pilier n°1,"Le chat EST le jeu. La parole a une portée physique, les murs et les planchers l'étouffent, et chaque message peut être interactif (survoler un nom, montrer un objet, lancer les dés)."
Pilier n°2,"L'identité se mérite. Un inconnu masqué est réellement anonyme — les autres joueurs ne voient qu'une description tant qu'ils ne vous ont pas reconnu."
Pilier n°3,"Une société portée par les joueurs. L'économie, les bâtiments, les villes et même le nouveau contenu du jeu sont demandés et financés par les joueurs, puis réalisés par les maîtres de jeu."
Pilier n°4,"Chaque personnage est mécaniquement unique. Des traits secrets tirés au hasard, des gabarits qui changent ce que vous pouvez faire, et des évolutions de traits conçues sur mesure par l'équipe."
Où en est-on (août 2026),"Une première tranche jouable est en ligne et vérifiée de bout en bout : créer un compte, construire un personnage (5 races, répartition de points), se déplacer sur une carte, éditer et sauvegarder une carte en tant qu'admin, et poster sur le forum communautaire."
Prochaine étape,"Phase 1 — Présence : le vrai multijoueur, où deux joueurs se voient bouger en temps réel dans la même rue."
Comment lire l'onglet Fonctionnalités,"Colonne Statut : EN LIGNE = fonctionne aujourd'hui · PARTIEL = une première version existe, la suite arrive · PRÉVU = conçu en détail, pas encore construit. La colonne Phase indique quand c'est planifié (les phases se construisent à peu près dans l'ordre)."
