Domaine,Fonctionnalité,Ce que ça fait,Statut,Phase,Notes
Comptes & accès,Inscription & connexion,"Créer un compte avec email et mot de passe ; des sessions sécurisées vous gardent connecté d'une visite à l'autre.",EN LIGNE,Fait,
Comptes & accès,Plusieurs personnages par compte,"Un compte peut contenir plusieurs personnages, mais un seul peut être dans le monde à la fois (changement depuis l'écran de sélection).",PARTIEL,Phase 5,"Aujourd'hui : limite simple de 5 personnages par compte. Plus tard : remplacée par « un nouveau personnage tous les 14 jours » pour décourager les personnages jetables."
Comptes & accès,Rôles d'équipe,"Les comptes sont Joueur, Maître de jeu ou Admin ; les outils réservés à l'équipe (comme l'éditeur de cartes) sont verrouillés selon le rôle.",EN LIGNE,Fait,
Personnages,Création de personnage,"Choisir une race, un genre et un gabarit, puis répartir un budget de points entre quatre attributs. Le serveur revérifie chaque choix.",EN LIGNE,Fait,
Personnages,Cinq races jouables,"Humain, Elfe, Nain, Ork, Troll — chacune avec ses gabarits autorisés et ses bonus d'attributs.",EN LIGNE,Fait,"Une direction fantasy-dans-le-cyberpunk, choisie délibérément (elle prépare une surprise prévue pour bien plus tard — voir « De nouvelles capacités peuvent apparaître »)."
Personnages,Le gabarit compte (S / M / L),"Votre taille change le jeu : un conduit d'aération n'est franchissable que par les petits gabarits, et un grand corps entre un tireur et une petite cible compte comme un couvert.",PARTIEL,Phases 1–7,"Le choix du gabarit à la création est en ligne ; les effets sur le déplacement, les collisions et le couvert arrivent avec ces systèmes."
Personnages,Trois traits secrets aléatoires,"Chaque nouveau personnage tire 3 particularités dans un pool d'environ 100 (ex. « les visages vous oublient », « une voix qui porte », un peu de chance) avec quelques relances autorisées. Les traits sont privés — les autres ne les découvrent qu'en vous observant.",PRÉVU,Phase 5,
Personnages,L'apparence = ce que vous portez,"Pas de sprites figés : votre allure visible est votre équipement porté sur une silhouette de race/genre (une « poupée de papier »). Survolez un emplacement du corps pour inspecter ce que porte quelqu'un.",PRÉVU,Phase 3,
Personnages,Portraits personnalisés,"Téléversez votre propre portrait de personnage. Masques et casques peuvent le remplacer par leur propre image. Les envois passent par des contrôles de taille et une file de validation par l'équipe.",PRÉVU,Phase 3,
Identité & anonymat,Système de reconnaissance,"Par défaut, les autres ne voient pas votre nom — ils voient une description construite depuis votre équipement (« une silhouette au casque hermétique »). L'affichage de votre nom dépend d'un test par observateur : sa Perception contre votre déguisement et votre équipement couvrant.",PRÉVU,Phase 3,"Un seul circuit décide du nom affiché partout : chat, survol, panneau de proximité, examen."
Identité & anonymat,Pions sur la carte,"Les joueurs apparaissent comme des pions ronds à l'échelle de leur gabarit. Votre couleur personnalisée n'est visible que par ceux qui vous reconnaissent ; les décorations portées (oreilles de chat, visière) sont visibles par tous.",PRÉVU,Phase 3,
Identité & anonymat,Panneau « qui est là »,"Une fenêtre listant tous ceux à portée de perception dans les pièces que vous voyez, avec portrait et nom (ou description) selon les règles de reconnaissance.",PRÉVU,Phase 3,
Monde & lieux,"Quartiers, bâtiments, étages","Le monde est une grille de quartiers urbains et de cellules sauvages. Sortez du bord d'un quartier pour rejoindre le voisin ; entrez dans les bâtiments par les portes ; les bâtiments ont plusieurs étages reliés par escaliers et ascenseurs.",PRÉVU,Phases 1 & 4a,"Une carte de départ construite à la main est en ligne aujourd'hui pour la démo de déplacement."
Monde & lieux,Des pièces à découvrir,"Dans les bâtiments, les pièces où vous n'êtes jamais entré s'affichent en gris. Une fois visitées, votre personnage se souvient de leur agencement — mais si le propriétaire rénove, ce souvenir s'efface et la pièce redevient grise.",PRÉVU,Phase 4a,
Monde & lieux,Le son traverse murs et planchers,"Une dispute bruyante à l'étage s'entend (étouffée) à travers le plafond. Chaque matériau de mur et de plancher a une valeur acoustique qui atténue la parole qui le traverse.",PRÉVU,Phases 2 & 4a,
